"gene_id","accession"
"11820","NM_007471"
"11820","NP_001185752"
"11820","NP_001185753"
"11820","NP_001185754"
"11820","NP_001185755"
"11820","NP_031497"
"11821","NM_009698"
"11821","NP_033828"
"11826","NM_007472"
"11826","NP_031498"
"11827","NM_009699"
"11827","NP_033829"
"11828","NM_016689"
"11828","NP_057898"
"11829","NM_009700"
"11829","NP_033830"
"11830","NM_009701"
"11830","NP_033831"
"11831","NM_175087"
"11831","NP_780296"
"11832","NM_007473"
"11832","NP_031499"
"11833","NM_001109045"
"11833","NM_007474"
"11833","NP_001102515"
"11833","NP_031500"
"11834","NM_009702"
"11834","NP_033832"
"11835","NM_013476"
"11835","NP_038504"
"11836","NM_001159645"
"11836","NM_009703"
"11836","NP_001153117"
"11836","NP_033833"
"11837","NM_007475"
"11837","NP_031501"
"11838","NM_018790"
"11838","NP_061260"
"11839","NM_009704"
"11839","NP_033834"
"11840","NM_001130408"
"11840","NM_007476"
"11840","NP_001123880"
"11840","NP_031502"
"11841","NM_007477"
"11841","NP_031503"
"11842","NM_007478"
"11842","NP_031504"
"11843","NM_007479"
"11843","NP_031505"
"11844","NM_007480"
"11844","NP_031506"
"11845","NM_007481"
"11845","NP_031507"
"11846","NM_007482"
"11846","NP_031508"
"11847","NM_009705"
"11847","NP_033835"
"11848","NM_016802"
"11848","NP_058082"
"11852","NM_007483"
"11852","NP_031509"
"11853","NM_007484"
"11853","NP_031510"
"11854","NM_007485"
"11854","NP_031511"
"11855","NM_009706"
"11855","NP_033836"
"11856","NM_009707"
"11856","NM_178754"
"11856","NP_033837"
"11856","NP_848869"
"11857","NM_007486"
"11857","NP_031512"
"11858","NM_009708"
"11858","NP_033838"
"11859","NM_008887"
"11859","NP_032913"
"11861","NM_001039515"
"11861","NM_007487"
"11861","NP_001034604"
"11861","NP_031513"
"11863","NM_001037737"
"11863","NM_009709"
"11863","NP_001032826"
"11863","NP_033839"
"11864","NM_007488"
"11864","NP_031514"
"11865","NM_001243048"
"11865","NM_007489"
"11865","NP_001229977"
"11865","NP_031515"
"11867","NM_023142"
"11867","NP_075631"
"11870","NM_009710"
"11870","NP_033840"
"11871","NM_007490"
"11871","NP_031516"
"11871","NR_033804"
"11872","NM_019915"
"11872","NP_064299"
"11875","NM_007491"
"11875","NP_031517"
"11876","NM_009711"
"11876","NP_033841"
"11877","NM_033474"
"11877","NP_258435"
"11878","NM_007492"
"11878","NP_031518"
"11881","NM_009712"
"11881","NP_033842"
"11883","NM_009713"
"11883","NP_033843"
"11886","NM_019734"
"11886","NP_062708"
"11889","NM_009714"
"11889","NP_033844"
"11890","NM_007493"
"11890","NP_031519"
"11891","NM_023635"
"11891","NP_076124"
"11898","NM_007494"
"11898","NP_031520"
"11899","NM_001205204"
"11899","NM_007495"
"11899","NP_001192133"
"11899","NP_031521"
"11905","NM_080844"
"11905","NP_543120"
"11906","NM_007496"
"11906","NP_031522"
"11907","NM_001029895"
"11907","NM_001136054"
