"gene_id","accession"
"24615","NM_012618"
"24615","NP_036750"
"24616","NM_012619"
"24616","NP_036751"
"24617","NM_012620"
"24617","NP_036752"
"24618","NM_053289"
"24618","NP_445741"
"24620","NM_173097"
"24620","NP_775120"
"24624","NM_017030"
"24624","NP_058726"
"24626","NM_017031"
"24626","NP_058727"
"24627","NM_001113328"
"24627","NM_001113329"
"24627","NM_001113332"
"24627","NM_001113334"
"24627","NM_017032"
"24627","NP_001106799"
"24627","NP_001106800"
"24627","NP_001106803"
"24627","NP_001106805"
"24627","NP_058728"
"24628","NM_031524"
"24628","NP_113712"
"24629","NM_031525"
"24629","NP_113713"
"24631","NM_022175"
"24631","NP_071511"
"24638","NM_001271063"
"24638","NM_001271064"
"24638","NM_012621"
"24638","NP_001257992"
"24638","NP_001257993"
"24638","NP_036753"
"24640","NM_001033964"
"24640","NM_001033965"
"24640","NM_080477"
"24640","NP_001029136"
"24640","NP_001029137"
"24640","NP_536725"
"24641","XM_003753631"
"24641","XM_238235"
"24641","XP_003753679"
"24641","XP_238235"
"24642","NM_053290"
"24642","NP_445742"
"24644","NM_053291"
"24644","NP_445743"
"24645","NM_017033"
"24645","NP_058729"
"24646","NM_012623"
"24646","NP_036755"
"24648","NM_022519"
"24648","NP_071964"
"24649","NM_017034"
"24649","NP_058730"
"24650","NM_001257352"
"24650","NP_001244281"
"24651","NM_012624"
"24651","NP_036756"
"24653","NM_133551"
"24653","NP_598235"
"24654","NM_001077641"
"24654","NP_001071109"
"24655","NM_017035"
"24655","NP_058731"
"24656","NM_017036"
"24656","NP_058732"
"24657","NM_022176"
"24657","NP_071512"
"24659","NM_012625"
"24659","NP_036757"
"24660","NM_017037"
"24660","NP_058733"
"24661","NM_031526"
"24661","NP_113714"
"24664","NM_139326"
"24664","NP_647542"
"24666","NM_017038"
"24666","NP_058734"
"24667","NM_001270619"
"24667","NM_001270620"
"24667","NM_033096"
"24667","NP_001257548"
"24667","NP_001257549"
"24667","NP_149087"
"24668","NM_031527"
"24668","NP_113715"
"24669","NM_001270983"
"24669","NM_022498"
"24669","NP_001257912"
"24669","NP_071943"
"24672","NM_017039"
"24672","NP_058735"
"24673","NM_017040"
"24673","NP_058736"
"24674","NM_017041"
"24674","NP_058737"
"24675","NM_017042"
"24675","NP_058738"
"24677","NM_012626"
"24677","NP_036758"
"24678","NM_001076553"
"24678","NM_012627"
"24678","NP_001070021"
"24678","NP_036759"
"24679","NM_001030020"
"24679","NP_001025191"
"24680","NM_001105713"
"24680","NP_001099183"
"24681","NM_012628"
"24681","NP_036760"
"24683","NM_012629"
"24683","NP_036761"
"24684","NM_001034111"
"24684","NM_012630"
"24684","NP_001029283"
"24684","NP_036762"
"24685","NM_001002850"
"24685","NP_001002850"
"24686","NM_012631"
"24686","NP_036763"
"24687","NM_012632"
"24687","NP_036764"
"24688","NM_012633"
"24688","NP_036765"
"24689","NM_012634"
"24689","NP_036766"
"24691","NM_012635"
"24691","NP_036767"
"24693","NM_017043"
"24693","NP_058739"
"24694","NM_017044"
"24694","NP_058740"
"24695","NM_012636"
"24695","NP_036768"
"24697","NM_012637"
"24697","NP_036769"
"24699","NM_001109887"
"24699","NM_001109888"
"24699","NM_001109889"
"24699","NM_001109890"
"24699","NM_138507"
"24699","NP_001103357"
"24699","NP_001103358"
"24699","NP_001103359"
"24699","NP_001103360"
"24699","NP_612516"
"24701","NM_012638"
"24701","NP_036770"
"24703","NM_012639"
"24703","NP_036771"
"24703","XM_003749820"
"24703","XP_003749868"
"24705","NM_031528"
"24705","NP_113716"
"24706","NM_031529"
"24706","NP_113717"
"24706","XM_001059523"
"24706","XM_223843"
"24706","XP_001059523"
"24706","XP_223843"
"24708","NM_017045"
"24708","NP_058741"
"24710","NM_012640"
"24710","NP_036772"
"24711","NM_001191832"
"24711","NP_001178761"
"24714","NM_012641"
"24714","NP_036773"
"24715","NM_012642"
