"","abundance_assay1","abundance_assay2","abundance_assay3","abundance_assay4","abundance_assay5","abundance_assay6","abundance_assay7","abundance_assay8","abundance_assay9","abundance_assay10","abundance_assay11","abundance_assay12","abundance_assay13","abundance_assay14","abundance_assay15"
"Label","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3"
"P-PE P-18:0/20:3_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"976578.265625","72259.30036550014",NA,NA,NA
"P-PE P-16:0_22:3_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44918.60588449987",NA,NA,NA
"P-PE P-18:0_20:4_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"315899.0",NA,NA,NA,NA
"P-PE P-18:0/20:4_22","6952138.585239831","5963769.16324692","5330977.945061569","4863196.204596032","4457702.45195563","1.1411970513023226E7","1.0268114133215655E7","8831162.735527415","8039657.421301727","7244734.321893586","1.238671513294971E7","1.1189450912051136E7","1.072702242724773E7","9860176.310324267","9239285.43136313"
"P-PE P-16:0/22:4_23","1968458.024135168","1742241.7976905797","1491830.3596259316","1450643.1860289671","1341237.3605443689","4699125.799476775","4184176.804284345","3690687.1394725866","3133872.7193232737","2924374.9281064137","5082364.554550289","4713896.462948866","4490212.260252271","4040854.377175735","3812802.678011872"
"P-PE P-18:1/20:4_24","2782687.7407909646","2696729.997521491","2655376.085638307","3125126.078125","2408059.3776036534","6397718.789201278","5762528.0529896915","4247731.956670333","4607713.643760839","3264409.9649811047","6564868.776774809","6050263.825860879","5430299.203422122","5509097.678407965","6672981.6875"
"P-PE P-16:0/22:5_25","814833.0717090358","859174.1587285094","838114.461236693",NA,"803819.1536463464","2378480.898298722","2053685.8845103083","1415943.137079667","1604389.7312391615","1336715.0037688948","2246516.566975191","1886927.29913912","1813078.1559528778","1760264.9778420336",NA
"P-PE P-16:0/22:6_26","2952261.515625","2797267.765625","2656118.21875","2256032.375","2223967.109375","4826144.90625","4250713.25","3662277.7890625","3556765.96875","3101489.28125","4162880.6171875","3953999.15625","3658197.671875","3659958.5","3465025.78125"
"P-PE 39:4_27",NA,NA,NA,NA,NA,NA,"58924.6484375",NA,NA,NA,"50092.03369140625",NA,NA,NA,NA
"P-PE 39:6_28","50034.5546875","75197.58203125","71985.91796875",NA,NA,NA,"88824.7578125",NA,"74522.17578125",NA,NA,NA,"76111.271484375","60541.44482421875",NA
