name,id
C09819,126259
C04063,126889
C06508,126410
G00067,125902
C00862,127236
C00135,125702
C03968,126842
C05584,126359
C07731,126239
C12833,126787
C00826,126543
C00283,127215
C17346,126126
G00066,125901
C06157,126322
C15790,126560
C08579,127291
C07481,126435
G00021,125862
C01290,125885
C06398,125950
C00390,126587
C00618,126727
C04405,126751
C05306,127072
C14768,125991
C00371,124139
G00011,127263
C06504,127112
C00214,125726
C00705,126538
C02737,125964
C01904,127507
C00221,127374
C11542,127120
C00110,125687
C00399,126978
C00463,124384
C14827,124142
C06893,126937
C05921,126796
C15892,127657
C05980,126160
C06311,127450
C00394,124077
C07101,126613
C20199,127405
C05267,126481
C18911,127371
G00122,124160
C01302,126367
G00130,124159
C06024,126678
G00035,125875
C05269,126482
C05962,124150
C03233,126250
C05964,124152
C05848,126972
C05588,126530
C06026,125949
C00441,126773
C15900,127659
C00418,126507
C03150,127679
C02614,124084
C01732,126595
C07216,126199
C00331,127501
G00033,124164
C01050,126657
C11522,126146
C07394,124097
C16210,124131
C06720,126606
C06503,127111
C04294,127594
C04635,125982
C01468,126202
C00074,127127
C06551,126582
C00158,127249
C15878,127652
C00333,126837
G10694,125867
C19887,126638
C02370,124132
C02565,126903
C06749,126252
C05748,126059
C04785,126016
C00819,126781
C05539,127563
C16541,127075
C17339,126108
C02501,127571
C05582,126828
G00026,125878
C01024,127626
C11863,127611
C05932,127736
C16263,126246
C02325,127338
C00695,126119
C05675,126664
C00092,126891
C16741,127514
C00857,126299
C03758,126525
C11821,126467
C05345,127506
C05337,126919
C04729,126210
C04640,127036
C00169,125816
C11453,126071
C00422,126021
C15806,127339
C05193,124117
C05958,124148
C06171,127538
C04133,126775
C00334,126849
C00748,126407
C01694,126506
G13048,127189
C03232,126339
G00009,125854
C01414,126570
C01212,125956
C08301,124069
C15877,127651
C00721,126689
G00125,125932
C00935,126949
C05957,124149
C05107,126103
C01035,126910
G00131,124158
C03453,127438
C00058,127542
C03838,127041
G00040,125896
C07836,125954
G00045,125894
G00013,125857
G00015,125859
C03028,127593
C11857,127614
G00044,125889
C04468,126231
C00550,125986
C03021,125852
C00361,126517
C13747,126437
C05431,126172
C01189,126100
C05500,126129
C12448,127065
C20246,127597
C01794,126118
C05895,127024
C01944,126031
C15787,126558
C03309,126387
C01724,126085
C03319,127143
C08614,127282
C01274,127234
G13042,127489
C00645,126658
C07086,126809
C15814,127599
C12835,126630
C01137,126767
C06087,124098
C00186,126862
C00559,126516
C02305,126312
C05414,126170
C06042,124045
C00639,126010
C00493,126337
C16524,124136
C04824,125946
C00079,125740
C17401,127115
C00095,126994
C04751,127045
C11545,127123
C00254,125739
C00231,125760
C06055,126815
C16203,126222
C05264,126030
C00089,126844
C00978,126372
C00406,127341
C06588,126195
C06387,124133
C00369,126495
G00149,126704
C00925,127173
C03406,126427
C20373,127472
C02280,126721
G00005,125943
C14769,125993
C02232,126263
C00974,127628
C06613,126330
C15793,127060
C05441,124095
C00219,125819
C02647,126911
C00286,126432
C16335,127194
C16244,127122
C16480,126273
C00255,125710
C00022,127397
C11540,127117
C00224,125825
G00111,125920
C00718,126688
C00725,126079
C05444,126122
C04717,126151
C01693,126534
G00170,125938
C00944,126347
C05762,126041
G00008,125851
C13629,126790
C00643,126370
C00785,126341
C00664,126460
C00794,126992
C01606,126248
C05479,127001
C05108,126087
C05947,126783
C02593,126652
C00180,127146
C03415,127737
C05176,126431
C00129,125729
C02514,126356
G10597,125847
G00039,125895
C00655,126480
G11040,125870
C00245,125704
C05749,126058
C03160,126420
C00263,125813
G00014,125858
G13074,127155
C05753,126053
G12625,125871
C15667,127046
G13044,126705
C01326,127708
C05904,127349
G00158,126692
C01262,127267
C04185,126537
C07102,127579
C12145,127018
C00989,127509
C01278,126264
C16428,126168
C00751,126083
C15996,127498
C08814,126567
G00077,125903
C01762,126461
C06755,126589
C09024,124109
C05587,126526
C20898,124046
C00668,127132
C02106,126383
C05896,126649
C18151,127074
C00593,126355
C00059,127523
C01885,127213
C01575,124065
C00828,126426
C03692,126157
C15777,126549
G00047,125890
C07734,126242
C07084,124092
C00577,126833
C00032,125706
C05759,126045
C00148,125810
C05178,126376
C06757,126206
C16238,126078
C05266,126033
C06892,126289
