gene,edge,net
K00811,128169,ko01100
K14455,128169,ko01100
K00838,128169,ko01100
K03334,128169,ko01100
K00270,128169,ko01100
K13064,128271,ko01100
K10775,128271,ko01100
K00801,128360,ko01100
K00140,128028,ko01100
K13821,128130,ko01100
K00294,128130,ko01100
K00149,129409,ko01100
K00138,129409,ko01100
K14085,129409,ko01100
K00128,129409,ko01100
K00129,129409,ko01100
K00139,128044,ko01100
K08324,128044,ko01100
K17761,128044,ko01100
K00135,128044,ko01100
K00291,128116,ko01100
K00290,128116,ko01100
K14157,128116,ko01100
K00838,128171,ko01100
K03334,128171,ko01100
K14455,128171,ko01100
K11358,128171,ko01100
K00832,128171,ko01100
K00817,128171,ko01100
K05821,128171,ko01100
K00811,128171,ko01100
K00813,128171,ko01100
K00815,128171,ko01100
K00812,128171,ko01100
K14454,128171,ko01100
K00220,128173,ko01100
K15226,128173,ko01100
K15227,128173,ko01100
K13064,129795,ko01100
K14468,129289,ko01100
K01962,129302,ko01100
K11262,129302,ko01100
K02160,129302,ko01100
K18472,129302,ko01100
K11263,129302,ko01100
K01961,129302,ko01100
K01963,129302,ko01100
K13952,129410,ko01100
K04022,129410,ko01100
K13953,129410,ko01100
K04072,129410,ko01100
K13980,129410,ko01100
K00114,129410,ko01100
K13951,129410,ko01100
K14029,129410,ko01100
K00001,129410,ko01100
K00121,129410,ko01100
K14028,129410,ko01100
K00002,129410,ko01100
K18857,129410,ko01100
K13954,129410,ko01100
K05306,128835,ko01100
K14286,129725,ko01100
K03735,129726,ko01100
K04019,129726,ko01100
K03736,129726,ko01100
K18365,128844,ko01100
K18365,128843,ko01100
K01666,128844,ko01100
K01666,128843,ko01100
K01620,128061,ko01100
K01568,129408,ko01100
K01622,128441,ko01100
K04041,128441,ko01100
K11532,128441,ko01100
K02446,128441,ko01100
K03841,128441,ko01100
K01086,128441,ko01100
K00696,127969,ko01100
K02564,127975,ko01100
K00820,127975,ko01100
K01941,129394,ko01100
K14541,129394,ko01100
K01483,129712,ko01100
K16856,129712,ko01100
K17217,128097,ko01100
K01758,128097,ko01100
K14155,128097,ko01100
K01760,128097,ko01100
K12407,129430,ko01100
K12407,129431,ko01100
K01193,129430,ko01100
K01193,129431,ko01100
K01187,129430,ko01100
K01187,129431,ko01100
K01203,129430,ko01100
K01203,129431,ko01100
K12316,129430,ko01100
K12316,129431,ko01100
K12317,129430,ko01100
K12317,129431,ko01100
K15922,129430,ko01100
K15922,129431,ko01100
K00695,129301,ko01100
K05783,128927,ko01100
K07104,129649,ko01100
K00446,129649,ko01100
K03381,128979,ko01100
K00480,128928,ko01100
K00643,129099,ko01100
K00673,129833,ko01100
K01847,128036,ko01100
K01848,128036,ko01100
K11942,128036,ko01100
K01849,128036,ko01100
K06116,129334,ko01100
K00864,129334,ko01100
K06117,129334,ko01100
K03621,128586,ko01100
K00631,128586,ko01100
K13506,128586,ko01100
K08591,128586,ko01100
K00629,128586,ko01100
K13507,128586,ko01100
K00630,128586,ko01100
K13508,128586,ko01100
K11181,128461,ko01100
K00380,128461,ko01100
K00392,128461,ko01100
K11180,128461,ko01100
K00381,128461,ko01100
K02768,127988,ko01100
K02769,127988,ko01100
K00846,127988,ko01100
K02770,127988,ko01100
K00844,127987,ko01100
K00847,127987,ko01100
K00008,129484,ko01100
K01805,129485,ko01100
K16881,127993,ko01100
K00971,127993,ko01100
K16011,127993,ko01100
K00966,127993,ko01100
K01711,127994,ko01100
K10046,129310,ko01100
K00456,128095,ko01100
K11204,128541,ko01100
K11204,128542,ko01100
K01919,128541,ko01100
K01919,128542,ko01100
K11205,128541,ko01100
K11205,128542,ko01100
K11358,129297,ko01100
K00811,129297,ko01100
K00813,129297,ko01100
K00812,129297,ko01100
K14455,129297,ko01100
K14454,129297,ko01100
K13034,128463,ko01100
K13034,128462,ko01100
K10150,128463,ko01100
K10150,128462,ko01100
K17069,128463,ko01100
K17069,128462,ko01100
K12339,128463,ko01100
K12339,128462,ko01100
K01738,128463,ko01100
K01738,128462,ko01100
K07751,128546,ko01100
K07751,128547,ko01100
K01255,128546,ko01100
K01255,128547,ko01100
K01270,128546,ko01100
K01270,128547,ko01100
K11142,128546,ko01100
K11142,128547,ko01100
K15428,128546,ko01100
K15428,128547,ko01100
K01256,128546,ko01100
K01256,128547,ko01100
K11140,128546,ko01100
K11140,128547,ko01100
K01431,128525,ko01100
K00823,128564,ko01100
K00822,128564,ko01100
K13524,128564,ko01100
K07250,128564,ko01100
K15372,128564,ko01100
K00632,128261,ko01100
K07509,128261,ko01100
K07513,128261,ko01100
K07508,128261,ko01100
K00140,129500,ko01100
K13938,129080,ko01100
K13998,129080,ko01100
K00287,129080,ko01100
K00287,129082,ko01100
K13998,129082,ko01100
K00288,129370,ko01100
K00288,129087,ko01100
K01938,129370,ko01100
K01938,129087,ko01100
K01492,129370,ko01100
K01492,129087,ko01100
K11787,129370,ko01100
K11787,129087,ko01100
K00602,129370,ko01100
K00602,129087,ko01100
K13402,129370,ko01100
K13402,129087,ko01100
K08289,129370,ko01100
K08289,129087,ko01100
K11175,129370,ko01100
K11175,129087,ko01100
K00601,129370,ko01100
K00601,129087,ko01100
K00600,128063,ko01100
K00600,129091,ko01100
K00600,128062,ko01100
K03465,128063,ko01100
K03465,129091,ko01100
K03465,128062,ko01100
K00605,128063,ko01100
K00605,129091,ko01100
K00605,128062,ko01100
K00975,127962,ko01100
K00965,127957,ko01100
K00965,127956,ko01100
K00965,127958,ko01100
K00965,127959,ko01100
K00963,127961,ko01100
K00963,127957,ko01100
K00963,127956,ko01100
K00963,127958,ko01100
K00963,127959,ko01100
K00978,129462,ko01100
K15779,127929,ko01100
K15778,127929,ko01100
K01835,127929,ko01100
K00876,128518,ko01100
K01591,128579,ko01100
K13421,128579,ko01100
K00761,129390,ko01100
K02825,129390,ko01100
K01485,128521,ko01100
K17723,128523,ko01100
K00207,128523,ko01100
K17722,128523,ko01100
K01656,128163,ko01100
K13497,128163,ko01100
K01658,128163,ko01100
K13501,128163,ko01100
K01657,128163,ko01100
K13503,128163,ko01100
K01556,128213,ko01100
K00052,129627,ko01100
K01754,128250,ko01100
K17989,128250,ko01100
K01739,128074,ko01100
K17217,128075,ko01100
K17217,128076,ko01100
K01758,128075,ko01100
K01758,128076,ko01100
K00902,128688,ko01100
K00729,128691,ko01100
K09659,128833,ko01100
K09659,128834,ko01100
K09658,128833,ko01100
K09658,128834,ko01100
K00721,128833,ko01100
K00721,128834,ko01100
K05879,129495,ko01100
K00863,129495,ko01100
K05878,129495,ko01100
K01803,127916,ko01100
K00866,128597,ko01100
K14156,128597,ko01100
K06124,128597,ko01100
K11440,129675,ko01100
K17755,129675,ko01100
K00108,129675,ko01100
K00005,129494,ko01100
K18097,129494,ko01100
K00948,129360,ko01100
K01808,128436,ko01100
K01808,129358,ko01100
K01807,128436,ko01100
K01807,129358,ko01100
K11389,129407,ko01100
K18978,129407,ko01100
K00131,129407,ko01100
K00150,128443,ko01100
K00150,127917,ko01100
K00134,128443,ko01100
K00134,127917,ko01100
K05298,128443,ko01100
K05298,127917,ko01100
K10705,128443,ko01100
K10705,127917,ko01100
K11395,129663,ko01100
K01631,129663,ko01100
K00615,128440,ko01100
K01624,128442,ko01100
K01623,128442,ko01100
K11645,128442,ko01100
K08302,129662,ko01100
K16371,129662,ko01100
K01635,129662,ko01100
K01622,127914,ko01100
K01622,127915,ko01100
K16306,127914,ko01100
K16306,127915,ko01100
K01623,127914,ko01100
K01623,127915,ko01100
K11645,127914,ko01100
K11645,127915,ko01100
K01624,127914,ko01100
K01624,127915,ko01100
K16305,127914,ko01100
K16305,127915,ko01100
K02502,128141,ko01100
K00765,128141,ko01100
K00764,128464,ko01100
K00766,128164,ko01100
K13497,128164,ko01100
K03524,129049,ko01100
K01947,129049,ko01100
K01942,129049,ko01100
K01435,129042,ko01100
K01435,129043,ko01100
K01012,129044,ko01100
K01676,129362,ko01100
K01678,129362,ko01100
K01679,129362,ko01100
K01677,129362,ko01100
K01756,128478,ko01100
K01557,128210,ko01100
K01557,128209,ko01100
K16164,128210,ko01100
K16164,128209,ko01100
K16165,128210,ko01100
K16165,128209,ko01100
K01755,128135,ko01100
K01755,128134,ko01100
K14681,128135,ko01100
K14681,128134,ko01100
K00263,128259,ko01100
K00826,128259,ko01100
K00849,127960,ko01100
K00011,129659,ko01100
K00035,129666,ko01100
K00983,127986,ko01100
K01597,128356,ko01100
K00791,129169,ko01100
K01823,128681,ko01100
K01081,128474,ko01100
K08693,128474,ko01100
K08723,128474,ko01100
K11751,128474,ko01100
K03787,128474,ko01100
K00602,128473,ko01100
K11176,128473,ko01100
K01492,128473,ko01100
K00760,128476,ko01100
K15780,128476,ko01100
K00088,128487,ko01100
K01939,128477,ko01100
K18533,128485,ko01100
K00940,128485,ko01100
K00873,128485,ko01100
K12406,128485,ko01100
K10944,128454,ko01100
K16159,128454,ko01100
K16157,128454,ko01100
K10945,128454,ko01100
K16162,128454,ko01100
K16158,128454,ko01100
K16160,128454,ko01100
K10946,128454,ko01100
K16161,128454,ko01100
K00824,128548,ko01100
K01921,129580,ko01100
K11182,129834,ko01100
K09251,129834,ko01100
K12256,129834,ko01100
K03343,129834,ko01100
K12251,129448,ko01100
